bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,BAC_val,AUC_val,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,parent_with_threshold,n_test,pos_rate_test,BND_ratio_test,POS_Coverage_test,regret_test,fold,pos_rate
L1_Contract=one_year|L2_tenure=short_term|L3_InternetService=OTHER,L3,L1_Contract=one_year|L2_tenure=short_term,59,22,0.01694915254237288,0.0,0.6,0.2,,,,,,,True,0,81,0.012345679012345678,,,f1_regret_bnd,,-0.23913043478260868,,True,L1_Contract=one_year|L2_tenure=short_term,L1_Contract=one_year|L2_tenure=short_term,14.0,0.0,0.0,0.0,0.0,2,0.012345679012345678
L1_Contract=two_year|L2_tenure=mid_term|L3_InternetService=fiber,L3,L1_Contract=two_year|L2_tenure=mid_term,55,25,0.12727272727272726,0.04,0.3,0.1,0.18,0.0,0.0,0.0,0.28,0.0,True,25,80,0.1,0.375,0.75,f1_regret_bnd,-0.32,-0.09523809523809523,-0.22476190476190477,True,L1_Contract=two_year|L2_tenure=mid_term,L1_Contract=two_year|L2_tenure=mid_term,12.0,0.16666666666666666,0.0,0.0,0.5416666666666666,2,0.1
L1_Contract=two_year|L2_tenure=short_term,L2,L1_Contract=two_year,57,21,0.0,0.0,0.3,0.1,,,,,,,True,0,78,0.0,,,f1_regret_bnd,,-0.13043478260869565,,True,ROOT,,,,,,,2,0.0
L1_Contract=month_to_month|L2_tenure=long_term|L3_InternetService=fiber,L3,L1_Contract=month_to_month|L2_tenure=long_term,52,22,0.21153846153846154,0.2727272727272727,0.3,0.1,,,,,,,True,0,74,0.22972972972972974,,,f1_regret_bnd,,-0.44441159077468956,,True,ROOT,,18.0,0.3333333333333333,0.0,0.3333333333333333,0.5277777777777778,2,0.22972972972972974
L1_Contract=one_year|L2_tenure=short_term|L3_InternetService=dsl,L3,L1_Contract=one_year|L2_tenure=short_term,47,18,0.19148936170212766,0.05555555555555555,0.6,0.2,,,,,,,True,0,65,0.15384615384615385,,,f1_regret_bnd,,-0.23913043478260868,,True,L1_Contract=one_year|L2_tenure=short_term,L1_Contract=one_year|L2_tenure=short_term,14.0,0.07142857142857142,0.0,0.0,0.39285714285714285,2,0.15384615384615385
L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=OTHER,L3,L1_Contract=month_to_month|L2_tenure=short_term,49,16,0.08163265306122448,0.125,0.3,0.1,,,,,,,True,0,65,0.09230769230769231,,,f1_regret_bnd,,-0.32591093117408915,,True,ROOT,,15.0,0.13333333333333333,0.0,0.0,0.7333333333333333,2,0.09230769230769231
L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=dsl,L3,L1_Contract=one_year|L2_tenure=long_term,43,21,0.023255813953488372,0.09523809523809523,0.3,0.1,,,,,,,True,0,64,0.046875,,,f1_regret_bnd,,-0.346875,,True,ROOT,,22.0,0.045454545454545456,0.0,0.0,0.25,2,0.046875
L1_Contract=two_year|L2_tenure=others,L2,L1_Contract=two_year,31,19,0.0,0.0,0.3,0.1,,,,,,,True,0,50,0.0,,,f1_regret_bnd,,-0.13043478260869565,,True,ROOT,,,,,,,2,0.0
L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=others,L3,L1_Contract=month_to_month|L2_tenure=mid_term,27,20,0.037037037037037035,0.05,0.2,0.1,,,,,,,True,0,47,0.0425531914893617,,,f1_regret_bnd,,0.1197703035274815,,True,L1_Contract=month_to_month|L2_tenure=mid_term,L1_Contract=month_to_month|L2_tenure=mid_term,,,,,,2,0.0425531914893617
L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=others,L3,L1_Contract=one_year|L2_tenure=long_term,16,2,0.0,0.0,0.3,0.1,,,,,,,True,0,18,0.0,,,f1_regret_bnd,,-0.346875,,True,ROOT,,,,,,,2,0.0
