bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_age=40-50|L2_job=unknown|L3_contact=cellular,3,48,0,48,L1_age=40-50|L2_job=unknown,True,L1_age=40-50,0
L1_age=40-50|L2_job=unknown|L3_contact=others,3,12,0,12,L1_age=40-50|L2_job=unknown,True,L1_age=40-50,0
L1_age=40-50|L2_job=unknown|L3_contact=unknown,3,43,0,43,L1_age=40-50|L2_job=unknown,True,L1_age=40-50,0
L1_age=40-50|L2_job=white_collar|L3_contact=cellular,3,3747,3747,0,L1_age=40-50|L2_job=white_collar,False,L1_age=40-50|L2_job=white_collar|L3_contact=cellular,0
L1_age=40-50|L2_job=white_collar|L3_contact=telephone,3,315,315,0,L1_age=40-50|L2_job=white_collar,False,L1_age=40-50|L2_job=white_collar|L3_contact=telephone,0
L1_age=40-50|L2_job=white_collar|L3_contact=unknown,3,1509,0,1509,L1_age=40-50|L2_job=white_collar,True,L1_age=40-50,0
L1_age=50-60|L2_job=blue_collar|L3_contact=cellular,3,1316,0,1316,L1_age=50-60|L2_job=blue_collar,True,L1_age=50-60|L2_job=blue_collar,0
L1_age=50-60|L2_job=blue_collar,2,0,2164,0,L1_age=50-60,False,L1_age=50-60|L2_job=blue_collar,2164
L1_age=50-60|L2_job=blue_collar|L3_contact=telephone,3,289,289,0,L1_age=50-60|L2_job=blue_collar,False,L1_age=50-60|L2_job=blue_collar|L3_contact=telephone,0
L1_age=50-60|L2_job=blue_collar|L3_contact=unknown,3,848,0,848,L1_age=50-60|L2_job=blue_collar,True,L1_age=50-60|L2_job=blue_collar,0
L1_age=50-60|L2_job=no_income|L3_contact=cellular,3,179,179,0,L1_age=50-60|L2_job=no_income,False,L1_age=50-60|L2_job=no_income|L3_contact=cellular,0
L1_age=50-60|L2_job=no_income|L3_contact=others,3,28,0,28,L1_age=50-60|L2_job=no_income,True,L1_age=50-60|L2_job=no_income,0
L1_age=50-60|L2_job=no_income,2,0,86,0,L1_age=50-60,False,L1_age=50-60|L2_job=no_income,86
L1_age=50-60|L2_job=no_income|L3_contact=unknown,3,58,0,58,L1_age=50-60|L2_job=no_income,True,L1_age=50-60|L2_job=no_income,0
L1_age=50-60|L2_job=retired|L3_contact=cellular,3,722,0,722,L1_age=50-60|L2_job=retired,True,L1_age=50-60,0
L1_age=50-60,1,0,2004,0,ROOT,False,L1_age=50-60,2004
L1_age=50-60|L2_job=retired|L3_contact=telephone,3,114,114,0,L1_age=50-60|L2_job=retired,False,L1_age=50-60|L2_job=retired|L3_contact=telephone,0
L1_age=50-60|L2_job=retired|L3_contact=unknown,3,401,401,0,L1_age=50-60|L2_job=retired,False,L1_age=50-60|L2_job=retired|L3_contact=unknown,0
L1_age=50-60|L2_job=self_emp|L3_contact=cellular,3,345,345,0,L1_age=50-60|L2_job=self_emp,False,L1_age=50-60|L2_job=self_emp|L3_contact=cellular,0
L1_age=50-60|L2_job=self_emp|L3_contact=telephone,3,58,0,58,L1_age=50-60|L2_job=self_emp,True,L1_age=50-60,0
L1_age=50-60|L2_job=self_emp|L3_contact=unknown,3,185,185,0,L1_age=50-60|L2_job=self_emp,False,L1_age=50-60|L2_job=self_emp|L3_contact=unknown,0
L1_age=50-60|L2_job=unknown|L3_contact=cellular,3,36,0,36,L1_age=50-60|L2_job=unknown,True,L1_age=50-60|L2_job=unknown,0
L1_age=50-60|L2_job=unknown,2,0,93,0,L1_age=50-60,False,L1_age=50-60|L2_job=unknown,93
L1_age=50-60|L2_job=unknown|L3_contact=others,3,14,0,14,L1_age=50-60|L2_job=unknown,True,L1_age=50-60|L2_job=unknown,0
L1_age=50-60|L2_job=unknown|L3_contact=unknown,3,43,0,43,L1_age=50-60|L2_job=unknown,True,L1_age=50-60|L2_job=unknown,0
L1_age=50-60|L2_job=white_collar|L3_contact=cellular,3,2207,2207,0,L1_age=50-60|L2_job=white_collar,False,L1_age=50-60|L2_job=white_collar|L3_contact=cellular,0
L1_age=50-60|L2_job=white_collar|L3_contact=telephone,3,345,0,345,L1_age=50-60|L2_job=white_collar,True,L1_age=50-60,0
L1_age=50-60|L2_job=white_collar|L3_contact=unknown,3,879,0,879,L1_age=50-60|L2_job=white_collar,True,L1_age=50-60,0
L1_age=<=30|L2_job=blue_collar|L3_contact=cellular,3,1336,0,1336,L1_age=<=30|L2_job=blue_collar,True,L1_age=<=30|L2_job=blue_collar,0
L1_age=<=30|L2_job=blue_collar,2,0,2231,0,L1_age=<=30,False,L1_age=<=30|L2_job=blue_collar,2231
L1_age=<=30|L2_job=blue_collar|L3_contact=telephone,3,96,96,0,L1_age=<=30|L2_job=blue_collar,False,L1_age=<=30|L2_job=blue_collar|L3_contact=telephone,0
