bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,BAC_val,AUC_val,cost_source,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,parent_with_threshold,n_test,pos_rate_test,BND_ratio_test,POS_Coverage_test,regret_test,fold,pos_rate
L1_group=D|L2_x1=b2|L3_x2=b2,L3,L1_group=D|L2_x1=b2,675,693,0.3422222222222222,0.3347763347763348,0.4,0.3,0.4653679653679654,0.6138211382113821,0.5807692307692308,0.6508620689655172,0.24675324675324675,0.37518037518037517,True,693,2351,0.3334751169715015,0.5716349390380732,0.7810887126935449,global_default,f1_regret_bnd,0.025076549466793316,0.1284528243327127,-0.1033762748659194,True,L1_group=D,L1_group=D,,,,,,1,0.3334751169715015
L1_group=A|L2_x1=b4|L3_x2=b3,L3,L1_group=A|L2_x1=b4,853,700,0.11957796014067995,0.11285714285714285,0.4,0.2,0.27214285714285713,0.21999999999999997,0.5238095238095238,0.13924050632911392,0.19714285714285715,0.03,True,700,2261,0.12030075187969924,0.48024827248822843,0.783362889581932,global_default,f1_regret_bnd,-0.15071428571428575,0.01298373713906395,-0.1636980228533497,True,L1_group=A,L1_group=A,,,,,,1,0.12030075187969924
L1_group=D|L2_x1=b4|L3_x2=b3,L3,L1_group=D|L2_x1=b4,614,696,0.5309446254071661,0.5287356321839081,0.4,0.2,0.3793103448275862,0.767123287671233,0.6614173228346457,0.9130434782608695,0.1824712643678161,0.7298850574712644,True,696,2256,0.5350177304964538,0.5418875927889714,0.8204781945917285,global_default,f1_regret_bnd,0.2965773106597387,0.3877978708750664,-0.0912205602153277,True,L1_group=D|L2_x1=b4,L1_group=D|L2_x1=b4,,,,,,1,0.5350177304964538
L1_group=B|L2_x1=b4|L3_x2=b3,L3,L1_group=B|L2_x1=b4,813,678,0.22632226322263221,0.252212389380531,0.4,0.2,0.3893805309734513,0.5919540229885059,0.5819209039548022,0.6023391812865497,0.37168141592920356,0.2610619469026549,True,678,2214,0.2506775067750677,0.5348974012941624,0.8227966365618189,global_default,f1_regret_bnd,0.016732784050452754,0.20895048666948787,-0.19221770261903512,True,L1_group=B|L2_x1=b4,L1_group=B|L2_x1=b4,,,,,,1,0.2506775067750677
L1_group=C|L2_x1=b2|L3_x2=b3,L3,L1_group=C|L2_x1=b2,659,655,0.19575113808801214,0.17709923664122137,0.4,0.2,0.37786259541984735,0.3515151515151515,0.5918367346938775,0.25,0.21068702290076335,0.07480916030534351,True,655,2210,0.16244343891402716,0.516465677179963,0.7555818565670782,global_default,f1_regret_bnd,-0.13169095535507752,0.07593847360508954,-0.20762942896016706,True,L1_group=C,L1_group=C,,,,,,1,0.16244343891402716
L1_group=C|L2_x1=b4|L3_x2=b3,L3,L1_group=C|L2_x1=b4,635,671,0.352755905511811,0.30402384500745155,0.4,0.2,0.4195230998509687,0.6177105831533477,0.5521235521235521,0.7009803921568627,0.11922503725782414,0.3859910581222057,True,671,2207,0.29723606705935657,0.6652653566780031,0.7967628164756267,global_default,f1_regret_bnd,0.13857496467346694,0.15115042058386938,-0.012575455910402433,True,L1_group=C,L1_group=C,,,,,,1,0.29723606705935657
L1_group=B|L2_x1=b2|L3_x2=b3,L3,L1_group=B|L2_x1=b2,618,650,0.12297734627831715,0.11384615384615385,0.4,0.3,0.28692307692307695,0.31666666666666665,0.41304347826086957,0.25675675675675674,0.04461538461538461,0.07076923076923076,False,650,2179,0.11656723267553924,0.5867117117117117,0.7577186561561562,global_default,f1_regret_bnd,0.007435897435897398,-0.1375661375661376,0.14500203500203498,False,L1_group=B|L2_x1=b2|L3_x2=b3,,,,,,,1,0.11656723267553924
L1_group=B|L2_x1=b3|L3_x2=b3,L3,L1_group=B|L2_x1=b3,817,666,0.1554467564259486,0.15465465465465467,0.4,0.2,0.3108108108108108,0.467065868263473,0.609375,0.3786407766990291,0.06756756756756757,0.0960960960960961,True,666,2178,0.15335169880624427,0.6386987187225164,0.8046870958285192,global_default,f1_regret_bnd,0.12247127366887843,0.1845792655073142,-0.06210799183843578,True,L1_group=B,L1_group=B,,,,,,1,0.15335169880624427
L1_group=D|L2_x1=b2|L3_x2=b3,L3,L1_group=D|L2_x1=b2,630,624,0.3,0.24358974358974358,0.4,0.3,0.46634615384615385,0.4652777777777778,0.49264705882352944,0.4407894736842105,0.3108974358974359,0.21794871794871795,True,624,2175,0.24413793103448275,0.49687778768956287,0.7454003122212312,global_default,f1_regret_bnd,-0.15651709401709402,0.1284528243327127,-0.28496991834980673,True,L1_group=D,L1_group=D,,,,,,1,0.24413793103448275
L1_group=A|L2_x1=b3|L3_x2=b3,L3,L1_group=A|L2_x1=b3,631,647,0.1045958795562599,0.09891808346213292,0.4,0.3,0.23261205564142196,0.27906976744186046,0.5454545454545454,0.1875,0.04482225656877898,0.03400309119010819,False,647,2171,0.08705665591893137,0.5705939108061749,0.7468374785591766,global_default,f1_regret_bnd,0.024046583516049016,0.009734388577064886,0.01431219493898413,False,L1_group=A|L2_x1=b3|L3_x2=b3,,,,,,,1,0.08705665591893137
L1_group=D|L2_x1=b3|L3_x2=b3,L3,L1_group=D|L2_x1=b3,619,653,0.5234248788368336,0.5053598774885145,0.4,0.3,0.33078101071975496,0.7855297157622739,0.6846846846846847,0.9212121212121213,0.08575803981623277,0.6799387442572741,False,653,2159,0.49282075034738304,0.6757763392438315,0.858063608218407,global_default,f1_regret_bnd,0.4118696851344026,0.33126596468015523,0.08060372045424735,False,L1_group=D|L2_x1=b3|L3_x2=b3,,,,,,,1,0.49282075034738304
L1_group=C|L2_x1=b3|L3_x2=b3,L3,L1_group=C|L2_x1=b3,644,640,0.2919254658385093,0.2421875,0.4,0.2,0.41171875,0.536741214057508,0.5316455696202531,0.5419354838709678,0.1375,0.246875,True,640,2158,0.23957367933271548,0.6317924842035252,0.7963950781509811,global_default,f1_regret_bnd,0.05627246405750794,0.26486966540252505,-0.2085972013450171,True,L1_group=C|L2_x1=b3,L1_group=C|L2_x1=b3,,,,,,1,0.23957367933271548
L1_group=A|L2_x1=b2|L3_x2=b3,L3,L1_group=A|L2_x1=b2,797,680,0.05897114178168131,0.05588235294117647,0.4,0.2,0.16544117647058823,0.0,0.0,0.0,0.0029411764705882353,0.0,True,680,2146,0.055452003727865795,0.4992211838006231,0.6972864404000656,global_default,f1_regret_bnd,-0.16691176470588234,-0.07772500154216276,-0.08918676316371958,True,L1_group=A,L1_group=A,,,,,,1,0.055452003727865795
L1_group=C|L2_x1=b5|L3_x2=b2,L3,L1_group=C|L2_x1=b5,769,575,0.6332899869960988,0.6,0.5,0.2,0.35391304347826086,0.8038147138964579,0.7583547557840618,0.855072463768116,0.2678260869565217,0.6765217391304348,True,575,1940,0.6268041237113402,0.4905797101449275,0.7946313799621928,global_default,f1_regret_bnd,0.3159886269399361,0.4495944999228183,-0.13360587298288218,True,L1_group=C|L2_x1=b5,L1_group=C|L2_x1=b5,,,,,,1,0.6268041237113402
L1_group=D|L2_x1=b5|L3_x2=b2,L3,L1_group=D|L2_x1=b5,780,558,0.7423076923076923,0.7867383512544803,0.2,0.1,0.20519713261648745,0.8873096446700507,0.8003663003663004,0.9954441913439636,0.016129032258064516,0.978494623655914,False,558,1938,0.7837977296181631,0.5103271376887885,0.7780287513638713,global_default,f1_regret_bnd,0.674047995924531,0.5072289368280516,0.16681905909647943,False,L1_group=D|L2_x1=b5|L3_x2=b2,,,,,,,1,0.7837977296181631
L1_group=A|L2_x1=b5|L3_x2=b2,L3,L1_group=A|L2_x1=b5,712,610,0.06741573033707865,0.06393442622950819,0.4,0.2,0.1885245901639344,0.048780487804878044,0.5,0.02564102564102564,0.040983606557377046,0.003278688524590164,True,610,1926,0.0695742471443406,0.49443172122681756,0.6765907764156451,global_default,f1_regret_bnd,-0.1602359056377449,0.3515504540003426,-0.5117863596380875,True,L1_group=A|L2_x1=b5,L1_group=A|L2_x1=b5,,,,,,1,0.0695742471443406
