bucket_id,Precision,Recall,F1,BAC,AUC,MCC,Kappa,Regret,BND_ratio,POS_Coverage,n_samples,alpha,beta
L1_group=B|L2_x1=b3|L3_x2=b3|L4_x3=b1,0.7,0.4117647058823529,0.5185185185185185,0.6847555923777962,0.847555923777962,0.4596570466272601,0.4381139489194499,0.3352272727272727,0.14772727272727273,0.11363636363636363,88,0.4,0.2
L1_group=D|L2_x1=b3|L3_x2=b5|L4_x3=b1,0.7142857142857143,0.3333333333333333,0.4545454545454545,0.6466666666666666,0.7813333333333333,0.3986842069610124,0.3606557377049181,0.49230769230769234,0.23076923076923078,0.1076923076923077,65,0.4,0.2
L1_group=D|L2_x1=b2|L3_x2=b4|L4_x3=b2,0.5,0.3793103448275862,0.4313725490196078,0.6317604355716878,0.8166969147005444,0.29198758951150505,0.2876386687797148,0.3790322580645161,0.1935483870967742,0.1774193548387097,124,0.4,0.2
L1_group=C|L2_x1=b2|L3_x2=b3|L4_x3=b2,0.6923076923076923,0.2903225806451613,0.4090909090909091,0.6316477768090671,0.6837401918047079,0.38391007498746316,0.3417256011315417,0.41899441340782123,0.11173184357541899,0.07262569832402235,179,0.4,0.2
L1_group=B|L2_x1=b1|L3_x2=b4|L4_x3=b5,0.5,0.5,0.5,0.7291666666666667,0.9583333333333333,0.4583333333333333,0.45833333333333337,0.1346153846153846,0.15384615384615385,0.07692307692307693,26,0.4,0.2
L1_group=B|L2_x1=b3|L3_x2=b1|L4_x3=b3,0.0,0.0,0.0,0.5,0.6836734693877551,0.0,0.0,0.07920792079207921,0.07920792079207921,0.0,101,0.4,0.2
L1_group=C|L2_x1=b5|L3_x2=b1|L4_x3=b2,0.8314606741573034,1.0,0.9079754601226994,0.53125,0.5886824324324325,0.22796116365475821,0.0987983978638185,0.17222222222222222,0.011111111111111112,0.9888888888888889,90,0.4,0.2
L1_group=D|L2_x1=b3|L3_x2=b1|L4_x3=b4,0.8333333333333334,0.9803921568627451,0.9009009009009009,0.535650623885918,0.7450980392156863,0.15416576335429344,0.10498687664041984,0.20967741935483872,0.0,0.967741935483871,62,0.4,0.2
L1_group=A|L2_x1=b4|L3_x2=b2|L4_x3=b3,1.0,0.05555555555555555,0.10526315789473684,0.5277777777777778,0.6929223744292238,0.2230726739418734,0.09480519480519489,0.28353658536585363,0.0975609756097561,0.006097560975609756,164,0.4,0.2
L1_group=A|L2_x1=b3|L3_x2=b3|L4_x3=b5,0.5,0.1111111111111111,0.1818181818181818,0.5446859903381642,0.8550724637681159,0.17662355462224646,0.13005272407732849,0.32727272727272727,0.10909090909090909,0.03636363636363636,55,0.4,0.2
