bucket_id,alpha,beta,threshold_mode,threshold_source_bucket,is_weak
L1_UniqueCarrier=AA|L2_Origin=PBI,0.3,0.2,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=PBI,False
L1_UniqueCarrier=AA|L2_Origin=PDX,0.5,0.4,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=PDX,False
L1_UniqueCarrier=AA|L2_Origin=PHL,0.4,0.3,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=PHL,False
L1_UniqueCarrier=AA|L2_Origin=PHX,0.3,0.2,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=PHX,False
L1_UniqueCarrier=AA|L2_Origin=PIT,0.4,0.3,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=PIT,False
L1_UniqueCarrier=AA|L2_Origin=RDU,0.3,0.2,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=RDU,False
L1_UniqueCarrier=AA|L2_Origin=RNO,0.4,0.3,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=RNO,False
L1_UniqueCarrier=AA|L2_Origin=SAN,0.4,0.3,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=SAN,False
L1_UniqueCarrier=AA|L2_Origin=SAT,0.4,0.3,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=SAT,False
L1_UniqueCarrier=AA|L2_Origin=SEA,0.5,0.4,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=SEA,False
L1_UniqueCarrier=AA|L2_Origin=SFO,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=AA|L2_Origin=SJC,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=AA|L2_Origin=SJU,0.4,0.3,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=SJU,False
L1_UniqueCarrier=AA|L2_Origin=SLC,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=AA|L2_Origin=SMF,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=AA|L2_Origin=SNA,0.3,0.2,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=SNA,False
L1_UniqueCarrier=AA|L2_Origin=STL,0.5,0.4,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=STL,False
L1_UniqueCarrier=AA|L2_Origin=TPA,0.3,0.2,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=TPA,False
L1_UniqueCarrier=AS|L2_Origin=BOS,0.5,0.4,bucket_wise,L1_UniqueCarrier=AS|L2_Origin=BOS,False
L1_UniqueCarrier=AS|L2_Origin=BUR,0.4,0.3,bucket_wise,L1_UniqueCarrier=AS,True
L1_UniqueCarrier=AS|L2_Origin=DEN,0.3,0.2,bucket_wise,L1_UniqueCarrier=AS|L2_Origin=DEN,False
L1_UniqueCarrier=AS|L2_Origin=LAS,0.4,0.3,bucket_wise,L1_UniqueCarrier=AS,True
L1_UniqueCarrier=AS|L2_Origin=LAX,0.4,0.3,bucket_wise,L1_UniqueCarrier=AS,True
L1_UniqueCarrier=AS|L2_Origin=OAK,0.4,0.3,bucket_wise,L1_UniqueCarrier=AS,True
L1_UniqueCarrier=AS|L2_Origin=ONT,0.5,0.4,bucket_wise,L1_UniqueCarrier=AS|L2_Origin=ONT,False
L1_UniqueCarrier=AS|L2_Origin=ORD,0.6,0.5,bucket_wise,L1_UniqueCarrier=AS|L2_Origin=ORD,False
L1_UniqueCarrier=AS|L2_Origin=OTHER_ORIGIN,0.5,0.4,bucket_wise,L1_UniqueCarrier=AS|L2_Origin=OTHER_ORIGIN,False
L1_UniqueCarrier=AS|L2_Origin=PDX,0.3,0.2,bucket_wise,L1_UniqueCarrier=AS|L2_Origin=PDX,False
L1_UniqueCarrier=AS|L2_Origin=PHX,0.4,0.3,bucket_wise,L1_UniqueCarrier=AS,True
L1_UniqueCarrier=AS|L2_Origin=RNO,0.4,0.3,bucket_wise,L1_UniqueCarrier=AS,True
L1_UniqueCarrier=AS|L2_Origin=SAN,0.4,0.3,bucket_wise,L1_UniqueCarrier=AS,True
L1_UniqueCarrier=AS|L2_Origin=SEA,0.4,0.3,bucket_wise,L1_UniqueCarrier=AS,True
L1_UniqueCarrier=AS|L2_Origin=SFO,0.4,0.3,bucket_wise,L1_UniqueCarrier=AS,True
L1_UniqueCarrier=AS|L2_Origin=SJC,0.3,0.2,bucket_wise,L1_UniqueCarrier=AS|L2_Origin=SJC,False
L1_UniqueCarrier=AS|L2_Origin=SMF,0.4,0.3,bucket_wise,L1_UniqueCarrier=AS,True
L1_UniqueCarrier=AS|L2_Origin=SNA,0.4,0.3,bucket_wise,L1_UniqueCarrier=AS|L2_Origin=SNA,False
L1_UniqueCarrier=B6|L2_Origin=AUS,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=B6|L2_Origin=BOS,0.6,0.5,bucket_wise,L1_UniqueCarrier=B6|L2_Origin=BOS,False
L1_UniqueCarrier=B6|L2_Origin=BUF,0.3,0.2,bucket_wise,L1_UniqueCarrier=B6|L2_Origin=BUF,False
L1_UniqueCarrier=B6|L2_Origin=CLT,0.3,0.2,bucket_wise,L1_UniqueCarrier=B6|L2_Origin=CLT,False
L1_UniqueCarrier=B6|L2_Origin=DEN,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=B6|L2_Origin=EWR,0.3,0.2,bucket_wise,L1_UniqueCarrier=B6|L2_Origin=EWR,False
L1_UniqueCarrier=B6|L2_Origin=FLL,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=B6|L2_Origin=IAD,0.3,0.2,bucket_wise,L1_UniqueCarrier=B6|L2_Origin=IAD,False
L1_UniqueCarrier=B6|L2_Origin=JFK,0.2,0.1,bucket_wise,L1_UniqueCarrier=B6|L2_Origin=JFK,False
L1_UniqueCarrier=B6|L2_Origin=LAS,0.5,0.4,bucket_wise,L1_UniqueCarrier=B6|L2_Origin=LAS,False
L1_UniqueCarrier=B6|L2_Origin=LGA,0.2,0.1,bucket_wise,L1_UniqueCarrier=B6|L2_Origin=LGA,False
L1_UniqueCarrier=B6|L2_Origin=MCO,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=B6|L2_Origin=OAK,0.4,0.3,bucket_wise,L1_UniqueCarrier=B6|L2_Origin=OAK,False
L1_UniqueCarrier=B6|L2_Origin=ORD,0.2,0.1,bucket_wise,L1_UniqueCarrier=B6|L2_Origin=ORD,False
L1_UniqueCarrier=B6|L2_Origin=OTHER_ORIGIN,0.3,0.2,bucket_wise,L1_UniqueCarrier=B6|L2_Origin=OTHER_ORIGIN,False
L1_UniqueCarrier=B6|L2_Origin=PBI,0.3,0.2,bucket_wise,L1_UniqueCarrier=B6|L2_Origin=PBI,False
L1_UniqueCarrier=B6|L2_Origin=PIT,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=B6|L2_Origin=RDU,0.2,0.1,bucket_wise,L1_UniqueCarrier=B6|L2_Origin=RDU,False
L1_UniqueCarrier=B6|L2_Origin=SAN,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=B6|L2_Origin=SFO,0.4,0.3,bucket_wise,L1_UniqueCarrier=B6|L2_Origin=SFO,False
L1_UniqueCarrier=B6|L2_Origin=SJU,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=B6|L2_Origin=SLC,0.3,0.2,bucket_wise,L1_UniqueCarrier=B6|L2_Origin=SLC,False
