bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=morning|L4_Distance=300-800,4,54,54,0,L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=morning,False,L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=morning|L4_Distance=300-800,0
L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=morning|L4_Distance=800-1500,4,35,35,0,L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=morning,False,L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=morning|L4_Distance=800-1500,0
L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=morning|L4_Distance=others,4,8,0,8,L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=morning,True,L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=morning,0
L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=morning,3,0,8,0,L1_UniqueCarrier=AA|L2_Origin=DEN,False,L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=morning,8
L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=night,3,14,0,14,L1_UniqueCarrier=AA|L2_Origin=DEN,True,ROOT,0
L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=afternoon|L4_Distance=1500-5000,4,119,119,0,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=afternoon,False,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=afternoon|L4_Distance=1500-5000,0
L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=afternoon|L4_Distance=300-800,4,573,573,0,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=afternoon,False,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=afternoon|L4_Distance=300-800,0
L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=afternoon|L4_Distance=800-1500,4,1098,1098,0,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=afternoon,False,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=afternoon|L4_Distance=800-1500,0
L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=afternoon|L4_Distance=<=300,4,241,241,0,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=afternoon,False,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=afternoon|L4_Distance=<=300,0
L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=evening|L4_Distance=1500-5000,4,68,68,0,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=evening,False,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=evening|L4_Distance=1500-5000,0
