bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,parent_with_threshold,n_test,pos_rate_test,BND_ratio_test,POS_Coverage_test,regret_test,fold,pos_rate
L1_age=mid|L2_education=mid|L3_hours-per-week=normal_hours,L3,L1_age=mid|L2_education=mid,1274,582,0.07770800627943485,0.08075601374570447,0.55,0.2,0.08762886597938144,0.3157894736842105,0.9,0.19148936170212766,0.07731958762886598,0.01718213058419244,False,582,1856,0.07866379310344827,,465.0,0.11397849462365592,0.0,0.03225806451612903,0.11827956989247312,1,0.07866379310344827
L1_age=very_old|L2_education=mid|L3_hours-per-week=normal_hours,L3,L1_age=very_old|L2_education=mid,905,391,0.2165745856353591,0.24552429667519182,0.6,0.15,0.21419437340153452,0.5,0.85,0.3541666666666667,0.37084398976982097,0.10230179028132992,False,391,1296,0.22530864197530864,,358.0,0.22625698324022347,0.0,0.06983240223463687,0.2325418994413408,1,0.22530864197530864
L1_age=old|L2_education=high|L3_hours-per-week=high_hours,L3,L1_age=old|L2_education=high,873,375,0.5292096219931272,0.584,0.4,0.35,0.20666666666666667,0.8218623481781376,0.7381818181818182,0.9269406392694064,0.02666666666666667,0.7333333333333333,False,375,1248,0.5456730769230769,,320.0,0.54375,0.0,0.609375,0.27265625,1,0.5456730769230769
L1_age=young|L2_education=high|L3_hours-per-week=low_hours,L3,L1_age=young|L2_education=high,832,366,0.004807692307692308,0.00273224043715847,0.35,0.2,0.0020491803278688526,0.0,0.0,0.0,0.00273224043715847,0.0,False,366,1198,0.004173622704507512,,318.0,0.0031446540880503146,0.0,0.006289308176100629,0.003930817610062893,1,0.004173622704507512
L1_age=young|L2_education=mid|L3_hours-per-week=normal_hours,L3,L1_age=young|L2_education=mid,795,348,0.011320754716981131,0.0028735632183908046,0.35,0.15,0.0035919540229885057,0.0,0.0,0.0,0.008620689655172414,0.0,False,348,1143,0.008748906386701663,,295.0,0.01694915254237288,0.0,0.010169491525423728,0.010169491525423728,1,0.008748906386701663
L1_age=young|L2_education=high|L3_hours-per-week=normal_hours,L3,L1_age=young|L2_education=high,796,324,0.035175879396984924,0.027777777777777776,0.55,0.35,0.022376543209876542,0.6153846153846153,1.0,0.4444444444444444,0.009259259259259259,0.012345679012345678,False,324,1120,0.033035714285714286,,289.0,0.03806228373702422,0.0,0.01384083044982699,0.03027681660899654,1,0.033035714285714286
L1_age=old|L2_education=top,L2,L1_age=old,204,93,0.6323529411764706,0.6774193548387096,0.4,0.3,0.07526881720430108,0.9393939393939393,0.8985507246376812,0.9841269841269841,0.010752688172043012,0.7419354838709677,False,93,1086,0.6915285451197053,,,,,,,1,0.6915285451197053
L1_age=young|L2_education=mid|L3_hours-per-week=low_hours,L3,L1_age=young|L2_education=mid,732,320,0.0,0.0,0.45,0.4,,,,,,,True,0,1052,0.0,L1_age=young|L2_education=mid,241.0,0.004149377593360996,0.0,0.0,0.006224066390041493,1,0.0
L1_age=very_old|L2_education=high|L3_hours-per-week=normal_hours,L3,L1_age=very_old|L2_education=high,714,276,0.45098039215686275,0.4492753623188406,0.45,0.35,0.1766304347826087,0.8091603053435115,0.7681159420289855,0.8548387096774194,0.08333333333333333,0.5,False,276,990,0.4505050505050505,,254.0,0.38976377952755903,0.0,0.4645669291338583,0.18700787401574803,1,0.4505050505050505
L1_age=mid|L2_education=high|L3_hours-per-week=high_hours,L3,L1_age=mid|L2_education=high,615,269,0.35609756097560974,0.3754646840148699,0.45,0.25,0.21189591078066913,0.7282608695652175,0.8072289156626506,0.6633663366336634,0.20817843866171004,0.30855018587360594,False,269,884,0.36199095022624433,,216.0,0.35185185185185186,0.0,0.3333333333333333,0.2465277777777778,1,0.36199095022624433
L1_age=old|L2_education=mid|L3_hours-per-week=high_hours,L3,L1_age=old|L2_education=mid,517,210,0.32495164410058025,0.2571428571428571,0.55,0.3,0.1869047619047619,0.6595744680851063,0.775,0.5740740740740741,0.26666666666666666,0.19047619047619047,False,210,727,0.30536451169188444,,189.0,0.3386243386243386,0.0,0.17989417989417988,0.27645502645502645,1,0.30536451169188444
L1_age=very_old|L2_education=mid|L3_hours-per-week=low_hours,L3,L1_age=very_old|L2_education=mid,420,194,0.05714285714285714,0.08247422680412371,0.35,0.3,0.07216494845360824,0.5833333333333334,0.875,0.4375,0.015463917525773196,0.041237113402061855,False,194,614,0.06514657980456026,,143.0,0.1048951048951049,0.0,0.02097902097902098,0.13286713286713286,1,0.06514657980456026
L1_age=very_old|L2_education=top,L2,L1_age=very_old,148,178,0.5878378378378378,0.6348314606741573,0.65,0.3,0.20224719101123595,0.8458149779735682,0.8421052631578947,0.8495575221238938,0.1797752808988764,0.6404494382022472,False,178,590,0.6593220338983051,,,,,,,1,0.6593220338983051
L1_age=mid|L2_education=mid|L3_hours-per-week=high_hours,L3,L1_age=mid|L2_education=mid,396,183,0.1717171717171717,0.1912568306010929,0.55,0.25,0.20355191256830601,0.40909090909090906,1.0,0.2571428571428571,0.18032786885245902,0.04918032786885246,False,183,579,0.17789291882556132,,160.0,0.15,0.0,0.0375,0.178125,1,0.17789291882556132
L1_age=old|L2_education=top|L3_hours-per-week=normal_hours,L3,L1_age=old|L2_education=top,368,158,0.6277173913043478,0.6265822784810127,0.55,0.3,0.1439873417721519,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.12658227848101267,0.6265822784810127,False,158,526,0.6273764258555133,,136.0,0.6397058823529411,0.0,0.6838235294117647,0.1323529411764706,1,0.6273764258555133
