bucket_id,alpha,beta,threshold_mode,threshold_source_bucket,is_weak
L1_neighbourhood_group=queens|L2_room_type=shared_room,0.4,0.3,bucket_wise,ROOT,True
L1_neighbourhood_group=staten_island|L2_room_type=entire_home,0.4,0.3,bucket_wise,ROOT,True
L1_neighbourhood_group=staten_island|L2_room_type=private_room,0.4,0.3,bucket_wise,ROOT,True
L1_neighbourhood_group=staten_island|L2_room_type=others,0.4,0.3,bucket_wise,ROOT,True
L1_neighbourhood_group=bronx|L2_room_type=entire_home|L3_availability_365=long_term,0.4,0.3,bucket_wise,ROOT,True
L1_neighbourhood_group=bronx|L2_room_type=entire_home|L3_availability_365=mid_term,0.4,0.3,bucket_wise,ROOT,True
L1_neighbourhood_group=bronx|L2_room_type=entire_home|L3_availability_365=others,0.4,0.3,bucket_wise,ROOT,True
L1_neighbourhood_group=bronx|L2_room_type=private_room|L3_availability_365=long_term,0.2,0.1,bucket_wise,L1_neighbourhood_group=bronx|L2_room_type=private_room,True
L1_neighbourhood_group=bronx|L2_room_type=private_room|L3_availability_365=rare,0.2,0.1,bucket_wise,L1_neighbourhood_group=bronx|L2_room_type=private_room,True
L1_neighbourhood_group=brooklyn|L2_room_type=shared_room|L3_availability_365=long_term,0.4,0.3,bucket_wise,ROOT,True
L1_neighbourhood_group=brooklyn|L2_room_type=shared_room|L3_availability_365=others,0.4,0.3,bucket_wise,ROOT,True
L1_neighbourhood_group=manhattan|L2_room_type=shared_room|L3_availability_365=long_term,0.4,0.3,bucket_wise,ROOT,True
L1_neighbourhood_group=manhattan|L2_room_type=shared_room|L3_availability_365=rare,0.4,0.3,bucket_wise,ROOT,True
L1_neighbourhood_group=manhattan|L2_room_type=shared_room|L3_availability_365=others,0.4,0.3,bucket_wise,ROOT,True
L1_neighbourhood_group=queens|L2_room_type=private_room|L3_availability_365=long_term,0.4,0.2,bucket_wise,L1_neighbourhood_group=queens|L2_room_type=private_room,True
