fold,bucket_id,parent_id,level,split_name,split_type,split_rule,n_samples_total,n_train,n_val,n_test,is_leaf,is_weak,effective_bucket_id
1,L1_Location=Bendigo|L2_RainToday=rain_today_yes,L1_Location=Bendigo,2,L2_RainToday,category_group,rain_today_yes,453,300,153,109.0,True,True,L1_Location=Bendigo
1,L1_Location=Bendigo|L2_RainToday=others,L1_Location=Bendigo,2,L2_RainToday,category_group,others,3,2,1,1.0,True,True,L1_Location=Bendigo
1,L1_Location=Brisbane|L2_RainToday=rain_today_no,L1_Location=Brisbane,2,L2_RainToday,category_group,rain_today_no,1962,541,232,,False,False,L1_Location=Brisbane|L2_RainToday=rain_today_no
1,L1_Location=Brisbane|L2_RainToday=rain_today_yes,L1_Location=Brisbane,2,L2_RainToday,category_group,rain_today_yes,572,390,182,,False,True,ROOT
1,L1_Location=Brisbane|L2_RainToday=others,L1_Location=Brisbane,2,L2_RainToday,category_group,others,25,15,10,4.0,True,True,ROOT
1,L1_Location=Cairns|L2_RainToday=rain_today_no,L1_Location=Cairns,2,L2_RainToday,category_group,rain_today_no,1610,416,138,,False,False,L1_Location=Cairns|L2_RainToday=rain_today_no
1,L1_Location=Cairns|L2_RainToday=rain_today_yes,L1_Location=Cairns,2,L2_RainToday,category_group,rain_today_yes,766,540,226,,False,False,L1_Location=Cairns|L2_RainToday=rain_today_yes
1,L1_Location=Cairns|L2_RainToday=others,L1_Location=Cairns,2,L2_RainToday,category_group,others,18,14,4,6.0,True,True,ROOT
1,L1_Location=Canberra|L2_RainToday=rain_today_no,L1_Location=Canberra,2,L2_RainToday,category_group,rain_today_no,2222,403,401,,False,True,ROOT
1,L1_Location=Canberra|L2_RainToday=rain_today_yes,L1_Location=Canberra,2,L2_RainToday,category_group,rain_today_yes,515,370,145,109.0,True,False,L1_Location=Canberra|L2_RainToday=rain_today_yes
1,L1_Location=Canberra|L2_RainToday=others,L1_Location=Canberra,2,L2_RainToday,category_group,others,13,11,2,3.0,True,True,ROOT
