bucket_id,Precision,Recall,F1,BAC,AUC,MCC,Kappa,Regret,BND_ratio,POS_Coverage,n_samples,alpha,beta
L1_Location=NorfolkIsland|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_high|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_mid,1.0,1.0,1.0,1.0,,0.0,,0.0,0.0,1.0,5,0.4,0.2
L1_Location=Portland|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_high,0.0,0.0,0.0,0.5,0.5121951219512195,0.0,0.0,0.10465116279069768,0.046511627906976744,0.0,43,0.4,0.2
L1_Location=Watsonia|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_mid|L5_Sunshine=sun_low,0.5,0.6,0.5454545454545454,0.70625,0.8375,0.38890872965260115,0.38596491228070173,0.35714285714285715,0.3333333333333333,0.2857142857142857,21,0.4,0.2
L1_Location=Canberra|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_high|L4_Cloud3pm=cloud_high|L5_Sunshine=unknown,0.7142857142857143,1.0,0.8333333333333333,0.5,1.0,0.0,0.0,0.2857142857142857,0.0,1.0,7,0.4,0.2
L1_Location=NorfolkIsland|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_mid|L5_Sunshine=sun_high,1.0,0.125,0.2222222222222222,0.5625,0.7472826086956522,0.3293790613225678,0.1957446808510639,0.3333333333333333,0.07407407407407407,0.018518518518518517,54,0.4,0.2
L1_Location=Walpole|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_high|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.7222222222222222,0.78,0.7500000000000001,0.7369387755102041,0.8481632653061225,0.47582366824833977,0.4742647058823529,0.3939393939393939,0.2727272727272727,0.5454545454545454,99,0.4,0.2
L1_Location=SydneyAirport|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_high,0.0,0.0,0.0,0.5,0.636920384951881,0.0,0.0,0.19852941176470587,0.03676470588235294,0.0,136,0.4,0.2
L1_Location=Ballarat|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_mid|L5_Sunshine=unknown,0.5,0.25,0.3333333333333333,0.6121794871794872,0.7243589743589743,0.30945593686426154,0.2892561983471075,0.20930232558139536,0.18604651162790697,0.046511627906976744,43,0.4,0.2
L1_Location=Penrith|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=unknown|L5_Sunshine=unknown,1.0,0.09090909090909091,0.16666666666666669,0.5454545454545454,0.73446088794926,0.29473494341303824,0.1598513011152416,0.13716814159292035,0.030973451327433628,0.004424778761061947,226,0.4,0.2
L1_Location=Witchcliffe|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.6190476190476191,0.38235294117647056,0.4727272727272727,0.6762510974539069,0.8564530289727832,0.4380320354316321,0.423132657093927,0.22847682119205298,0.1357615894039735,0.0695364238410596,302,0.4,0.2
L1_Location=MountGambier|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=cloud_mid|L5_Sunshine=sun_high,0.0,0.0,0.0,0.5,0.9545454545454545,0.0,0.0,0.25,0.15384615384615385,0.0,26,0.4,0.2
L1_Location=Sydney|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_high,0.0,0.0,0.0,0.5,0.6723438767234388,0.0,0.0,0.19863013698630136,0.0273972602739726,0.0,146,0.4,0.2
L1_Location=Cairns|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_high|L4_Cloud3pm=cloud_mid|L5_Sunshine=sun_low,0.8260869565217391,1.0,0.9047619047619047,0.5,0.5789473684210527,0.0,0.0,0.17391304347826086,0.0,1.0,23,0.4,0.2
L1_Location=Townsville|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_high,0.0,0.0,0.0,0.49710982658959535,0.6994219653179191,-0.013958622828317738,-0.00966962127316684,0.10614525139664804,0.027932960893854747,0.00558659217877095,179,0.4,0.2
L1_Location=GoldCoast|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_high|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.627906976744186,0.7297297297297297,0.675,0.6486486486486487,0.706355003652301,0.30128506961562723,0.29729729729729726,0.46621621621621623,0.2972972972972973,0.581081081081081,74,0.4,0.2
L1_Location=MountGambier|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_high,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.03636363636363636,0.03636363636363636,0.0,55,0.4,0.2
L1_Location=PerthAirport|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_mid|L5_Sunshine=sun_high,0.75,0.75,0.75,0.8602941176470589,0.7794117647058824,0.7205882352941176,0.7205882352941176,0.18421052631578946,0.15789473684210525,0.10526315789473684,38,0.4,0.2
L1_Location=Albury|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.0,0.0,0.0,0.5,0.7799401197604792,0.0,0.0,0.13428571428571429,0.022857142857142857,0.0,175,0.4,0.2
L1_Location=NorahHead|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_high|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.8352941176470589,0.8875,0.8606060606060607,0.7493055555555556,0.8368055555555556,0.5212761874366085,0.5184115523465704,0.3017241379310345,0.19827586206896552,0.7327586206896551,116,0.4,0.2
L1_Location=Bendigo|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.0,0.0,0.0,0.5,0.9134615384615384,0.0,0.0,0.14414414414414414,0.04504504504504504,0.0,111,0.4,0.2
L1_Location=Nuriootpa|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_high|L4_Cloud3pm=cloud_high|L5_Sunshine=sun_high,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,1,0.4,0.2
L1_Location=Moree|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_high,1.0,0.3333333333333333,0.5,0.6666666666666666,0.936046511627907,0.5740225742153459,0.49567723342939474,0.037142857142857144,0.005714285714285714,0.005714285714285714,175,0.4,0.2
L1_Location=Tuggeranong|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.4444444444444444,0.32,0.37209302325581395,0.6346192893401015,0.8010152284263959,0.3118093043852034,0.30673143650242884,0.2635135135135135,0.15765765765765766,0.08108108108108109,222,0.4,0.2
L1_Location=Mildura|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=unknown|L5_Sunshine=sun_high,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,18,0.4,0.2
L1_Location=SydneyAirport|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_high|L5_Sunshine=sun_high,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,1,0.4,0.2
L1_Location=Newcastle|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=cloud_mid|L5_Sunshine=unknown,0.0,0.0,0.0,0.5,0.9375,0.0,0.0,0.17647058823529413,0.0,0.0,17,0.4,0.2
