bucket_id,Precision,Recall,F1,BAC,AUC,MCC,Kappa,Regret,BND_ratio,POS_Coverage,n_samples,alpha,beta
L1_age=40-50|L2_job=self_emp|L3_contact=telephone,0.5,1.0,0.6666666666666666,0.9705882352941176,1.0,0.6859943405700353,0.64,0.05555555555555555,0.05555555555555555,0.1111111111111111,18,0.3,0.2
L1_age=40-50|L2_job=unknown|L3_contact=OTHER,0.0,0.0,0.0,0.75,,0.0,0.0,0.1875,0.0,0.25,8,0.3,0.2
L1_age=40-50|L2_job=unknown|L3_contact=cellular,0.25,1.0,0.4,0.75,0.6666666666666667,0.3535533905932738,0.2222222222222221,0.32142857142857145,0.0,0.5714285714285714,7,0.3,0.2
L1_age=40-50|L2_job=unknown|L3_contact=telephone,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,1,0.3,0.2
L1_age=40-50|L2_job=white_collar|L3_contact=OTHER,0.2727272727272727,0.3333333333333333,0.3,0.6531986531986532,0.9393939393939393,0.2780846851645732,0.276595744680851,0.059640522875817,0.0196078431372549,0.03594771241830065,306,0.3,0.2
L1_age=40-50|L2_job=white_collar|L3_contact=cellular,0.5555555555555556,0.7446808510638298,0.6363636363636364,0.8304869128263843,0.9331806761441338,0.5850678836343093,0.5766168187997669,0.11926605504587157,0.04456094364351245,0.1651376146788991,763,0.3,0.2
L1_age=40-50|L2_job=white_collar|L3_contact=telephone,0.5,0.625,0.5555555555555556,0.7670454545454546,0.9249999999999999,0.486635277855517,0.48254620123203285,0.12698412698412698,0.047619047619047616,0.15873015873015872,63,0.3,0.2
L1_age=50-60|L2_job=blue_collar|L3_contact=OTHER,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.5990629183400268,0.9524765729585007,0.24049022840416084,0.2352006356773938,0.09142857142857143,0.03428571428571429,0.03428571428571429,175,0.3,0.2
L1_age=50-60|L2_job=blue_collar|L3_contact=cellular,0.52,0.52,0.52,0.7358064516129033,0.9037096774193547,0.47161290322580646,0.4716129032258065,0.10622710622710622,0.014652014652014652,0.09157509157509157,273,0.3,0.2
L1_age=50-60|L2_job=blue_collar|L3_contact=telephone,0.6666666666666666,1.0,0.8,0.9886363636363636,1.0,0.8071648849616486,0.7889908256880733,0.016304347826086956,0.0,0.06521739130434782,46,0.3,0.2
L1_age=50-60|L2_job=no_income|L3_contact=OTHER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07692307692307693,13,0.3,0.2
L1_age=50-60|L2_job=no_income|L3_contact=cellular,0.7142857142857143,0.625,0.6666666666666666,0.7780172413793103,0.9051724137931034,0.5844348033860295,0.582392776523702,0.17567567567567569,0.02702702702702703,0.1891891891891892,37,0.3,0.2
L1_age=50-60|L2_job=no_income|L3_contact=telephone,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,5,0.3,0.2
L1_age=50-60|L2_job=retired|L3_contact=OTHER,0.8,0.8,0.8000000000000002,0.8943820224719101,0.9887640449438202,0.7887640449438202,0.7887640449438202,0.034574468085106384,0.02127659574468085,0.05319148936170213,94,0.3,0.2
L1_age=50-60|L2_job=retired|L3_contact=cellular,0.5666666666666667,0.68,0.6181818181818183,0.7875806451612903,0.8912903225806451,0.535964948435087,0.5326362957430919,0.16610738255033558,0.040268456375838924,0.20134228187919462,149,0.3,0.2
L1_age=50-60|L2_job=retired|L3_contact=telephone,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.05555555555555555,18,0.3,0.2
L1_age=50-60|L2_job=self_emp|L3_contact=OTHER,0.5,1.0,0.6666666666666666,0.9875,1.0,0.698212002188447,0.6554621848739496,0.024390243902439025,0.024390243902439025,0.04878048780487805,41,0.3,0.2
